stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
73847;24.7;26.25;0.000;0.000;0.000;0.000;0.000
73947;24.7;26.25;0.000;0.000;0.000;0.000;0.000
74047;24.7;26.25;0.000;0.000;0.000;0.000;0.000
74147;24.7;26.25;0.000;0.000;0.000;0.000;0.000
74247;24.7;26.25;0.000;0.000;0.000;0.000;0.000
74347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
74447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
74547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
74647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
74747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
74847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
74947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
75447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
75547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
75947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
76047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
76147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
76247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
76347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
76447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
76547;24.7;26.25;0.000;0.000;0.000;0.000;0.000
76647;24.7;26.25;0.000;0.000;0.000;0.000;0.000
76747;24.7;26.25;0.000;0.000;0.000;0.000;0.000
76847;24.7;26.25;0.000;0.000;0.000;0.000;0.000
76947;24.7;26.25;0.000;0.000;0.000;0.000;0.000
77047;24.7;26.25;0.000;0.000;0.000;0.000;0.000
77147;24.7;26.25;0.000;0.000;0.000;0.000;0.000
77247;24.7;26.25;0.000;0.000;0.000;0.000;0.000
77347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
77447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
77547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
77647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
77747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
77847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
77947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
